ec_id,Wnd,Wnd
stage_id,S1,S1
hub_id,H1,H1
profile_key,min,max
unit,kW,kW
1,10,10
2,10,10
3,10,10
4,10,10
5,10,10
6,10,10
7,1.494,1.494
8,0.578,0.578
9,5.487,5.487
10,1.938,1.938
11,1.124,1.124
12,0.821,0.821
13,3.071,3.071
14,2.461,2.461
15,3.774,3.774
16,7.652,7.652
17,6.51,6.51
18,8.921,8.921
19,10,10
20,10,10
21,10,10
22,10,10
23,10,10
24,10,10
25,10,10
26,10,10
27,5.487,5.487
28,10,10
29,10,10
30,10,10
31,10,10
32,1.938,1.938
33,3.774,3.774
34,10,10
35,10,10
36,10,10
37,10,10
38,8.921,8.921
39,10,10
40,10,10
41,10,10
42,10,10
43,10,10
44,10,10
45,10,10
46,10,10
47,10,10
48,7.652,7.652
49,10,10
50,10,10
51,10,10
52,10,10
53,10,10
54,4.577,4.577
55,8.921,8.921
56,5.487,5.487
57,10,10
58,1.938,1.938
59,6.51,6.51
60,1.494,1.494
61,6.51,6.51
62,10,10
63,10,10
64,10,10
65,10,10
66,10,10
67,10,10
68,10,10
69,10,10
70,10,10
71,10,10
72,8.921,8.921
73,10,10
74,10,10
75,10,10
76,10,10
77,10,10
78,10,10
79,10,10
80,10,10
81,8.921,8.921
82,10,10
83,10,10
84,10,10
85,10,10
86,10,10
87,10,10
88,10,10
89,10,10
90,10,10
91,5.487,5.487
92,6.51,6.51
93,5.487,5.487
94,6.51,6.51
95,6.51,6.51
96,10,10
97,3.774,3.774
98,6.51,6.51
99,2.461,2.461
100,10,10
101,10,10
102,10,10
103,10,10
104,10,10
105,10,10
106,6.51,6.51
107,3.071,3.071
108,6.51,6.51
109,7.652,7.652
110,10,10
111,10,10
112,10,10
113,10,10
114,10,10
115,10,10
116,10,10
117,10,10
118,10,10
119,10,10
120,10,10
121,10,10
122,10,10
123,10,10
124,4.577,4.577
125,10,10
126,10,10
127,10,10
128,10,10
129,5.487,5.487
130,10,10
131,10,10
132,8.921,8.921
133,10,10
134,0.246,0.246
135,4.577,4.577
136,5.487,5.487
137,5.487,5.487
138,7.652,7.652
139,10,10
140,5.487,5.487
141,10,10
142,2.461,2.461
143,7.652,7.652
144,10,10
145,10,10
146,8.921,8.921
147,6.51,6.51
148,8.921,8.921
149,6.51,6.51
150,10,10
151,10,10
152,10,10
153,4.577,4.577
154,6.51,6.51
155,3.071,3.071
156,8.921,8.921
157,5.487,5.487
158,5.487,5.487
159,8.921,8.921
160,4.577,4.577
161,10,10
162,10,10
163,4.577,4.577
164,4.577,4.577
165,10,10
166,10,10
167,5.487,5.487
168,0.032,0.032
