time,wind_speed
1,13.32
2,23.04
3,19.08
4,16.92
5,16.92
6,10.8
7,6.48
8,5.4
9,8.64
10,6.84
11,6.12
12,5.76
13,7.56
14,7.2
15,7.92
16,9.36
17,9
18,9.72
19,10.44
20,10.44
21,11.88
22,12.96
23,15.84
24,11.16
25,12.24
26,13.68
27,8.64
28,15.48
29,15.48
30,17.64
31,17.64
32,6.84
33,7.92
34,12.6
35,16.56
36,15.12
37,20.88
38,9.72
39,12.24
40,12.6
41,16.92
42,14.04
43,14.4
44,15.12
45,12.24
46,15.84
47,13.32
48,9.36
49,14.76
50,18.36
51,10.8
52,13.68
53,13.32
54,8.28
55,9.72
56,8.64
57,10.8
58,6.84
59,9
60,6.48
61,9
62,12.24
63,19.44
64,15.12
65,16.2
66,10.44
67,10.08
68,10.8
69,12.96
70,10.8
71,14.04
72,9.72
73,11.88
74,13.68
75,26.64
76,27.72
77,13.32
78,17.28
79,15.84
80,12.24
81,9.72
82,10.44
83,19.8
84,16.2
85,12.24
86,30.6
87,28.44
88,13.68
89,13.32
90,21.96
91,8.64
92,9
93,8.64
94,9
95,9
96,10.44
97,7.92
98,9
99,7.2
100,10.8
101,11.88
102,15.48
103,10.08
104,14.04
105,13.32
106,9
107,7.56
108,9
109,9.36
110,14.4
111,16.2
112,29.52
113,14.76
114,16.92
115,17.28
116,11.88
117,13.32
118,19.08
119,13.68
120,22.68
121,19.44
122,18
123,12.96
124,8.28
125,14.4
126,16.2
127,12.6
128,11.16
129,8.64
130,10.44
131,13.68
132,9.72
133,10.8
134,4.68
135,8.28
136,8.64
137,8.64
138,9.36
139,13.68
140,8.64
141,13.32
142,7.2
143,9.36
144,10.8
145,10.8
146,9.72
147,9
148,9.72
149,9
150,15.12
151,11.16
152,11.52
153,8.28
154,9
155,7.56
156,9.72
157,8.64
158,8.64
159,9.72
160,8.28
161,11.52
162,12.6
163,8.28
164,8.28
165,10.44
166,12.6
167,8.64
168,3.6
