time,power_kw
1,10.0
2,10.0
3,10.0
4,10.0
5,10.0
6,10.0
7,1.494
8,0.578
9,5.487
10,1.938
11,1.124
12,0.821
13,3.071
14,2.461
15,3.774
16,7.652
17,6.51
18,8.921
19,10.0
20,10.0
21,10.0
22,10.0
23,10.0
24,10.0
25,10.0
26,10.0
27,5.487
28,10.0
29,10.0
30,10.0
31,10.0
32,1.938
33,3.774
34,10.0
35,10.0
36,10.0
37,10.0
38,8.921
39,10.0
40,10.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,7.652
49,10.0
50,10.0
51,10.0
52,10.0
53,10.0
54,4.577
55,8.921
56,5.487
57,10.0
58,1.938
59,6.51
60,1.494
61,6.51
62,10.0
63,10.0
64,10.0
65,10.0
66,10.0
67,10.0
68,10.0
69,10.0
70,10.0
71,10.0
72,8.921
73,10.0
74,10.0
75,10.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,8.921
82,10.0
83,10.0
84,10.0
85,10.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,5.487
92,6.51
93,5.487
94,6.51
95,6.51
96,10.0
97,3.774
98,6.51
99,2.461
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,6.51
107,3.071
108,6.51
109,7.652
110,10.0
111,10.0
112,10.0
113,10.0
114,10.0
115,10.0
116,10.0
117,10.0
118,10.0
119,10.0
120,10.0
121,10.0
122,10.0
123,10.0
124,4.577
125,10.0
126,10.0
127,10.0
128,10.0
129,5.487
130,10.0
131,10.0
132,8.921
133,10.0
134,0.246
135,4.577
136,5.487
137,5.487
138,7.652
139,10.0
140,5.487
141,10.0
142,2.461
143,7.652
144,10.0
145,10.0
146,8.921
147,6.51
148,8.921
149,6.51
150,10.0
151,10.0
152,10.0
153,4.577
154,6.51
155,3.071
156,8.921
157,5.487
158,5.487
159,8.921
160,4.577
161,10.0
162,10.0
163,4.577
164,4.577
165,10.0
166,10.0
167,5.487
168,0.032
