stage_id,S1,S1,S1
hub_id,H1,H1,H1
tech_id,X3,X3,X3
profile_key,cop,temp_heat_out,temp_heat_in
unit,1,K,K
1,2.240395898,346.379078,313.637131
2,3.208260278,351.5844842,330.6743647
3,2.15025798,350.0687869,328.3586319
4,2.618672522,340.6148487,328.2231247
5,1.634100756,351.6085651,320.7717216
6,2.814967491,339.1112891,329.9896489
7,2.386729314,333.3389231,320.9091636
8,3.508733667,340.8964435,323.5918158
9,2.315143533,347.5996987,322.1495896
10,1.950195524,334.2966733,315.7834713
11,2.62013075,344.6947236,326.6859781
12,3.284927505,352.817395,316.1150072
13,2.378155433,352.9875432,331.3721588
14,3.285323006,343.8798366,325.0979711
15,1.755256228,342.9303504,316.0831428
16,3.220944077,339.7673632,313.8872645
17,2.740372805,345.2898712,324.6451669
18,2.891733093,337.7649508,313.3463765
19,3.559133262,350.2255167,321.5880741
20,3.593199072,335.2826264,329.1112464
21,3.20719524,345.4930711,322.6673068
22,2.780481154,344.677809,316.0482922
23,2.842573135,342.9574261,324.8943397
24,2.717936798,335.1414435,327.2989192
25,3.372315035,340.0330883,314.6883803
26,1.574601041,350.3657392,328.582955
27,3.352475998,335.2684887,331.3195175
28,2.970751959,340.7200647,323.3134637
29,1.630172753,338.819671,319.1163014
30,3.433367476,340.670697,327.3685485
31,3.51407452,345.5036094,331.3211112
32,1.815018643,351.6680079,323.4307341
33,3.070119176,347.94934,330.7138752
34,2.27903568,339.0627585,331.6355133
35,3.256094143,334.7281705,323.7320602
36,3.770022512,348.9840498,330.796078
37,3.754923958,349.2911393,317.9796134
38,3.785782583,350.0678672,326.0861604
39,2.580851736,339.3909129,322.8937214
40,3.477017196,335.6500207,332.5794255
41,1.886343746,350.171691,326.9417925
42,2.914197909,340.2644553,325.7758482
43,2.849421955,347.81106,319.5910993
44,1.769774391,334.3198204,325.478749
45,3.491837554,342.3616466,321.5913165
46,2.336063973,333.7860736,323.7050865
47,2.882236149,337.6601671,325.2616071
48,3.476257957,351.7308433,330.382167
49,2.8766564,334.3358997,325.2658893
50,2.847663623,341.6348525,327.396693
