stage_id,,S1
hub_id,,H1
ec_id,,E1
profile_key,,price
1,49.81425211,24.90712606
2,56.69678931,28.34839466
3,71.25948804,35.62974402
4,63.69414455,31.84707228
5,78.54527091,39.27263546
6,66.41383259,33.2069163
7,64.27988494,32.13994247
8,65.72494677,32.86247339
9,64.07688234,32.03844117
10,65.25031629,32.62515815
11,58.29259775,29.14629888
12,55.74723013,27.87361507
13,49.23376878,24.61688439
14,39.25780306,19.62890153
15,41.33492544,20.66746272
16,35.22773062,17.61386531
17,33.78820644,16.89410322
18,25.64779409,12.82389705
19,32.61486298,16.30743149
20,26.82495295,13.41247648
21,40.4490049,20.22450245
22,40.14209191,20.07104596
23,48.25016158,24.12508079
24,46.96567138,23.48283569
25,47.05994579,23.5299729
26,51.35935938,25.67967969
27,61.23605875,30.61802938
28,55.99917985,27.99958993
29,73.58916025,36.79458013
30,68.93458622,34.46729311
31,58.94901832,29.47450916
32,64.18162162,32.09081081
33,68.25487162,34.12743581
34,67.92435535,33.96217768
35,57.11550677,28.55775339
36,55.09565495,27.54782748
37,50.3345543,25.16727715
38,48.40434139,24.2021707
39,40.83770677,20.41885339
40,27.06239639,13.5311982
41,33.30758646,16.65379323
42,27.09869613,13.54934807
43,17.08566987,8.542834935
44,23.14736953,11.57368477
45,31.04209926,15.52104963
46,28.16425941,14.08212971
47,55.73990973,27.86995487
48,34.72443136,17.36221568
49,52.63952002,26.31976001
50,59.63298631,29.81649316
51,60.78335736,30.39167868
52,63.99278837,31.99639419
53,63.38191053,31.69095527
54,70.87763382,35.43881691
55,71.72552784,35.86276392
56,76.11147602,38.05573801
57,69.49276113,34.74638057
58,76.97418248,38.48709124
59,57.19895113,28.59947557
60,42.09552563,21.04776282
61,46.75339864,23.37669932
62,47.50089363,23.75044682
63,40.12719709,20.06359855
64,38.25572823,19.12786412
65,40.38376612,20.19188306
66,39.6119022,19.8059511
67,36.9070696,18.4535348
68,27.6002595,13.80012975
69,34.01815509,17.00907755
70,42.88555525,21.44277763
71,36.85723101,18.42861551
72,41.48346243,20.74173122
73,50.03841606,25.01920803
74,63.03829055,31.51914528
75,57.80926443,28.90463222
76,58.54662522,29.27331261
77,71.29086435,35.64543218
78,67.36627179,33.6831359
79,67.92682052,33.96341026
80,76.65568512,38.32784256
81,69.39106141,34.69553071
82,73.8144367,36.90721835
83,58.96444419,29.4822221
84,49.56979234,24.78489617
85,56.9498519,28.47492595
86,45.05415164,22.52707582
87,37.65213922,18.82606961
88,40.7368224,20.3684112
89,30.38583457,15.19291729
90,33.27395351,16.63697676
91,33.74127669,16.87063835
92,31.26391299,15.6319565
93,37.18587494,18.59293747
94,39.54349269,19.77174635
95,50.58162775,25.29081388
96,37.74812764,18.87406382
97,51.23769637,25.61884819
98,58.54660426,29.27330213
99,67.56830503,33.78415252
100,57.07427667,28.53713834
101,71.94465912,35.97232956
102,64.0074859,32.00374295
103,75.4691666,37.7345833
104,75.85028958,37.92514479
105,68.42584396,34.21292198
106,60.01281035,30.00640518
107,63.61238944,31.80619472
108,50.77614584,25.38807292
109,39.90050046,19.95025023
110,45.00534682,22.50267341
111,38.37124374,19.18562187
112,29.50177082,14.75088541
113,28.48535347,14.24267674
114,32.00808864,16.00404432
115,31.6167617,15.80838085
116,32.7816097,16.39080485
117,35.44454388,17.72227194
118,29.22910348,14.61455174
119,39.6704546,19.8352273
120,45.84448568,22.92224284
121,46.06538204,23.03269102
122,57.35589188,28.67794594
123,56.92830344,28.46415172
124,67.77721758,33.88860879
125,65.31664845,32.65832423
126,63.57725441,31.78862721
127,67.08595079,33.5429754
128,56.30435825,28.15217913
129,77.74051061,38.87025531
130,62.4815294,31.2407647
131,60.9496297,30.47481485
132,58.21927588,29.10963794
133,52.66164275,26.33082138
134,46.87433092,23.43716546
135,41.77088522,20.88544261
136,36.1930391,18.09651955
137,25.95229777,12.97614889
138,40.18515274,20.09257637
139,37.96501705,18.98250853
140,32.48637555,16.24318778
141,33.56922501,16.78461251
142,32.35888321,16.17944161
143,41.83023808,20.91511904
144,41.19100995,20.59550498
145,45.09645134,22.54822567
146,55.88291193,27.94145597
147,51.7479262,25.8739631
148,61.39900201,30.69950101
149,69.11156535,34.55578268
150,64.19247612,32.09623806
151,67.82613175,33.91306588
152,62.69767406,31.34883703
153,65.96584222,32.98292111
154,69.87981199,34.939906
155,63.9601105,31.98005525
156,50.07199936,25.03599968
157,54.92677344,27.46338672
158,37.33483965,18.66741983
159,45.11987203,22.55993602
160,32.34827503,16.17413752
161,33.55486897,16.77743449
162,31.58790394,15.79395197
163,35.021788,17.510894
164,33.12729762,16.56364881
165,37.54016531,18.77008266
166,25.58613443,12.79306722
167,43.27663613,21.63831807
168,49.69789722,24.84894861
169,54.85551908,27.42775954
170,57.82814466,28.91407233
171,58.84923184,29.42461592
172,69.57974015,34.78987008
173,75.65811815,37.82905908
174,63.08801367,31.54400684
175,76.98873852,38.49436926
176,75.20530847,37.60265424
177,67.98473039,33.9923652
178,70.18185666,35.09092833
179,55.36531509,27.68265755
180,54.62495087,27.31247544
181,41.1293586,20.5646793
182,47.81303578,23.90651789
183,46.87543958,23.43771979
184,38.76685501,19.38342751
185,28.41032668,14.20516334
186,27.19837458,13.59918729
187,32.7833014,16.3916507
188,29.12171634,14.56085817
189,39.457355,19.7286775
190,33.87900115,16.93950058
191,35.37029729,17.68514865
192,43.25552104,21.62776052
193,60.00447095,30.00223548
194,53.22517854,26.61258927
195,67.88661925,33.94330963
196,67.48744269,33.74372135
197,75.67467992,37.83733996
198,69.92970626,34.96485313
199,71.47733739,35.7386687
200,67.89870757,33.94935379
201,67.14876903,33.57438452
202,69.55120592,34.77560296
203,54.89962866,27.44981433
