stage_id,S1,S1,S1
hub_id,H1,H1,H1
ec_id,E1,E1,E1
profile_key,max_abs,max_rel,energy_cost
1,3.598829891,0.020181058,0.000243232
2,3.020987789,0.043116202,0.000920914
3,3.058317866,0.055709452,0.000681311
4,4.275175002,0.042819844,0.000438584
5,4.191365838,0.017965042,0.000434473
6,2.545940375,0.036982401,0.00075187
7,4.387111432,0.033023755,0.000964859
8,3.909420166,0.07615578,0.000356411
9,3.768135967,0.098135588,0.000708654
10,4.084252091,0.007516876,0.000138586
11,3.985403828,0.006220955,0.000691419
12,3.66977151,0.079936764,0.000952779
13,3.601600273,0.086722773,0.000152931
14,4.4671225,0.091682266,2.34663E-05
15,3.99523785,0.078024855,0.000761941
16,4.772127883,0.098768749,0.000626215
17,3.308884154,0.073689515,0.000509303
18,4.292066701,0.036041421,0.00072304
19,3.648686528,0.057963832,0.000136968
20,3.073253575,0.008163773,0.000652524
21,3.80059799,0.068299118,0.000597723
22,2.670856313,0.060249475,0.000629739
23,4.667778231,0.006518255,0.000370496
24,2.544688214,0.084641824,2.02053E-05
25,3.575741174,0.029953755,4.60901E-05
26,4.446712685,0.013378964,0.000689929
27,3.310404437,0.016261652,8.96606E-05
28,4.112009021,0.08498392,0.000824037
29,4.617375868,0.032461693,9.54493E-05
30,4.872169923,0.028013122,0.00054378
31,4.798990299,0.069338987,0.000767684
32,3.425575736,0.022256158,0.000333904
33,3.73517957,0.098349866,0.000110751
34,2.756682681,0.031364587,0.000739304
35,2.558370875,0.042879482,0.000116387
36,4.086214948,0.00067427,0.000613383
37,4.368731997,0.041354235,0.000539634
38,4.601783481,0.078548905,2.78467E-05
39,4.855826491,0.073331392,0.000240125
40,4.033676424,0.036905615,0.000718894
41,3.367826499,0.097668185,0.000917315
42,2.52508211,0.071816347,0.000933369
43,2.809675625,0.048452806,0.000305783
44,3.171736073,0.003692749,0.000291241
45,4.875541863,0.03002693,0.000612907
46,2.936276331,0.02809969,0.000132211
47,3.451071278,0.059937301,0.000517778
48,4.503199205,0.05157867,0.000148721
49,4.920342326,0.05474888,0.000796042
50,4.070683268,0.082056899,0.00074644
51,3.853997936,0.009243934,0.000806938
52,3.809446861,0.009039636,0.000984142
53,3.556975778,0.008303646,0.000540158
54,3.068977211,0.04034336,7.8801E-05
55,3.871023406,0.07296481,0.00076895
56,2.512930292,0.078811349,0.000164568
57,3.816250579,0.077708151,0.000508593
58,4.040315899,0.086024603,0.000954562
59,4.733245154,0.02248948,0.000405889
60,4.147254415,0.040549683,0.000339732
61,3.1013808,0.092339294,0.000849698
62,2.872853705,0.029656179,7.70427E-05
63,4.209613255,0.022609225,0.000950903
64,4.049758434,0.089444937,0.000440765
65,2.866814961,0.075390302,0.000989702
66,4.552900367,0.07294319,0.000438328
67,4.652882697,0.099944307,0.000338018
68,4.936920377,0.024351902,0.000724778
69,3.442458535,0.073523218,0.000740644
70,2.533398153,0.089001571,0.00050725
71,3.870265746,0.069861785,6.93835E-05
72,4.828665004,0.06851772,0.000632361
73,4.998501807,0.095197751,0.000875136
74,4.855576759,0.021027916,0.000190646
75,3.061888825,0.042338289,0.00058695
76,3.260455974,0.046393518,0.000308339
77,4.556499614,0.095092346,0.00063422
78,2.826300006,0.022838548,0.000821628
79,3.190737746,0.091598283,0.000303476
80,3.08090378,0.034942157,0.000359215
81,4.534539741,0.090590492,0.000489857
82,4.396831103,0.041819026,0.000317682
83,3.946929602,0.016791654,3.79705E-05
84,2.951676048,0.088071696,0.000393308
85,4.933484577,0.041766982,0.000484309
86,4.361752065,0.076740522,0.000605144
87,3.131012473,0.030585962,0.000406649
88,3.619729869,0.047403688,5.45878E-05
89,3.790347448,0.048746866,0.000269939
90,4.038841022,0.090290239,0.000626063
91,4.96345982,0.054188976,7.71931E-05
92,3.399066301,0.043524464,0.000220715
93,3.453267581,0.095340849,0.000246735
94,4.791592075,0.058942726,0.000736306
95,2.902916236,0.029072337,0.000957368
96,3.754107648,0.087697508,0.000911637
97,3.984151169,0.095560343,0.000160556
98,3.881087799,0.062588609,1.01812E-07
99,4.697011541,0.016848001,0.000182575
100,4.47137804,0.005473331,0.000918546
101,4.228533363,0.05057699,0.000294058
102,3.10369402,0.030775068,0.000184068
103,3.240395884,0.091747912,0.000445158
104,4.73968434,0.056172655,0.000617446
105,3.004838158,0.071742965,0.000230767
106,4.181453127,0.056997448,0.000687527
107,3.537071812,0.062074938,0.00021917
108,3.68598275,0.025372677,0.000468048
109,2.906821787,0.09620001,0.000512597
110,3.128705906,0.067091964,0.000485668
111,4.408198309,0.022303186,0.000598918
112,2.693355156,0.072685372,0.000794901
113,3.841855483,0.088979597,0.000619653
114,4.333123373,0.066677447,0.0003792
115,3.151028836,0.080505559,0.000690758
116,3.617271645,0.005584353,0.000700263
117,4.779780742,0.085237385,0.00078989
118,4.284715385,0.037311932,0.000395466
119,2.845090951,0.039345457,0.000450421
120,4.995208492,0.075714538,0.000420767
121,3.426049665,0.05421862,0.000868699
122,2.588323493,0.005433287,0.000772244
123,2.586633204,0.09852888,0.000760584
124,3.92516195,0.051498938,0.000686378
125,3.617236269,0.069017408,0.000529476
126,4.772727992,0.010149735,0.000611003
127,2.849517766,0.046687716,0.000324959
128,2.511415295,0.028813709,0.000310432
129,4.794619065,0.042629422,0.0004263
130,4.587465784,0.008794535,0.000160089
131,3.969277057,0.054056455,0.000546084
132,4.928906428,0.038281394,0.000736634
133,4.582816892,0.006049731,0.000246793
134,3.212993663,0.066614662,0.000136366
135,4.561013926,0.029215674,0.000339044
136,4.961443298,0.080477239,0.000911264
137,3.077657403,0.080710873,0.000637672
138,4.783288404,0.000506062,0.000974333
139,4.652700955,0.087342471,0.000469849
140,4.215059214,0.068503319,0.000434797
141,4.747678266,0.043935177,9.99089E-05
142,3.009408909,0.071577785,3.71148E-05
143,3.306980052,0.042515259,0.000194202
144,2.784028717,0.024406665,0.000723027
145,4.403652934,0.098476352,0.000230314
146,3.14132379,0.077111705,0.000340976
147,4.919479361,0.028050453,0.000753265
148,2.683038917,0.092970375,0.000351641
149,3.296503043,0.04427601,0.000873251
150,4.140405479,0.063995207,0.000635371
151,2.568659225,0.076867432,5.88839E-05
152,4.711162501,0.035200967,0.000860143
153,4.950131864,0.055202563,0.000525492
154,2.990831636,0.071207726,0.000119762
155,3.549612694,0.046890097,0.000677973
156,3.517155681,0.072126682,0.00068936
157,2.670735851,0.091593174,0.00086851
158,3.29199855,0.061351086,0.000908747
159,2.804805054,0.001919358,0.000788416
160,4.161638712,0.026860106,9.62402E-05
161,4.703126557,0.040937684,0.000738069
162,3.531807051,0.041196939,0.000531042
163,4.752583361,0.060911428,0.000884726
164,2.863829501,0.09593344,0.000963251
165,3.736711939,0.070670058,4.58262E-05
166,4.510637973,0.017520848,0.000710439
167,2.769097196,0.012123898,0.00076423
168,4.000415715,0.001520445,0.000450155
169,2.570332757,0.07253265,0.000796869
170,3.20296328,0.007188385,9.04811E-06
171,3.529577272,0.020807517,0.000501695
172,3.350580855,0.045628661,0.000218088
173,3.857384901,0.071656858,0.000647786
174,3.394206972,0.069786846,0.000366637
175,4.810605802,0.0999007,0.000209218
176,4.828462235,0.067424409,3.15668E-06
177,4.562628658,0.028453211,0.000364379
178,4.899106034,0.054648068,0.00026551
179,3.849782349,0.0913503,0.000731683
180,3.335321888,0.033058463,0.000953466
181,4.748918015,0.034987415,0.000469292
182,2.710297469,0.01543976,0.000502351
183,2.655510731,0.014961042,0.000158698
184,2.682209621,0.07471866,0.000847645
185,4.088452208,0.068854742,0.000942934
186,4.552074076,0.064714271,0.000771772
187,3.994457145,0.046721483,0.000608323
188,2.532769124,0.047250584,2.87593E-05
189,4.460401886,0.095492995,0.00086293
190,3.332045348,0.037114313,1.85885E-05
191,3.826250708,0.098967315,0.000936132
192,4.229352957,0.006581892,0.000243134
193,2.704756286,0.058104001,0.000756104
194,4.226268859,0.003689372,0.000869368
195,4.526351809,0.082584255,0.000679884
196,4.038389527,0.023789932,0.000346303
197,3.630157929,0.041957384,0.000157231
198,3.864520811,0.067420649,0.000203866
199,3.063604684,0.093798321,0.000994428
200,2.521629658,0.06890225,0.000315687
201,4.63516546,0.020314561,0.000483057
202,3.816458143,0.016253191,0.00041406
203,4.974999239,0.040790112,0.000602917
204,2.518959389,0.03346505,0.000411756
205,2.594946294,0.023495089,0.000808143
206,4.060711401,0.052507308,0.000548905
207,4.806120914,0.002388916,0.000925956
208,3.964514544,0.03512123,0.000428201
209,3.130828898,0.043494658,4.37534E-05
210,3.343505704,0.047532742,0.000645403
211,4.364409511,0.063412808,0.000149611
212,4.240747571,0.046278863,0.000927881
213,3.689243165,0.083498899,0.000131301
214,4.061637768,0.032205659,0.000964878
215,3.32708911,0.045077407,0.000417401
216,4.713776845,0.098385716,0.00054526
217,3.936480463,0.099886399,0.000432062
218,4.386517688,0.041111808,0.000623189
219,4.701247708,0.002448038,0.000258731
220,4.106818978,0.083215234,8.93995E-05
221,4.653324362,0.051671233,6.0741E-05
222,4.244451929,0.066615613,0.000545304
223,2.602128862,0.009151807,0.000288691
224,2.836008709,0.02987498,4.30547E-06
225,4.84370149,0.044712848,0.000619846
226,4.34702685,0.067468974,0.000111914
227,2.941056547,0.014237755,0.000788211
228,4.758255098,0.077865809,0.0005538
229,3.251384375,0.069635891,0.000653212
230,4.46094054,0.025277827,0.000705054
231,3.212413174,0.084350176,0.000616162
232,4.034112469,0.037466316,0.00065746
233,2.505402821,0.043328527,0.000682396
234,4.163956716,0.033654657,0.000510246
235,2.773062579,0.078942899,0.000660087
236,4.062294887,0.048575796,0.000505566
237,3.128919966,0.061447139,0.000356901
238,4.419277792,0.041396499,0.000893991
239,4.294263833,0.027687006,4.68776E-05
240,4.372402023,0.036138438,0.000920298
241,2.530666541,0.067631779,0.000315631
242,2.713050138,0.054792496,0.000954899
