loadshift_id,LS1,LS1,LS1,LS1,LS1,LS1,LS1
profile_key,max_above_abs,max_above_rel,max_below_abs,max_below_rel,energy_cost_above,energy_cost_below,fix_cost
1,0.48640531,0.005100576,0.425332949,0.004241521,0.000980351,0.000313959,0.002819542
2,3.020987789,0.005904809,1.138607455,0.00855945,0.000600239,0.000898694,0.000627438
3,3.058317866,0.004602505,1.765204817,0.002958067,0.00025294,0.000998196,0.000937221
4,4.275175002,0.000779808,3.481896948,0.005318982,0.000130078,0.00094992,0.00163826
5,4.191365838,0.00907245,3.829595985,0.00471249,0.000415239,0.000477922,0.001539503
6,2.545940375,0.00059891,3.445597776,0.00105489,0.000206654,0.000282014,0.002941936
7,4.387111432,0.004277846,0.329738269,0.00580184,0.000243232,0.000832785,0.000591894
8,3.909420166,0.000199559,3.609151081,0.007276794,0.000491724,0.000501872,0.001611251
9,3.768135967,0.002405113,2.033214044,0.002498595,1.64426E-05,0.000228827,0.000974638
10,4.084252091,0.007621812,3.310232308,0.000980365,9.44073E-05,0.000169384,0.002481414
11,3.985403828,0.002233329,3.65615711,0.008467867,0.00023665,0.000983466,0.002319163
12,3.66977151,0.002530637,2.014263777,0.002990633,0.000157683,0.000696639,0.000188678
13,3.601600273,0.00364354,0.969774642,0.008946693,0.000204967,0.000965655,0.001281241
14,4.4671225,0.006901548,1.495286659,0.00157912,0.00089541,0.000846109,0.002284775
15,3.99523785,0.003086302,2.955869063,0.008528925,0.000788812,0.000933936,0.002538226
16,4.772127883,0.007415763,1.669112908,0.003346316,0.000920561,0.000697411,0.002108416
17,3.308884154,0.009227341,2.151725557,0.000637073,2.91751E-05,0.000682998,0.000143492
18,4.292066701,0.004679839,2.657171026,0.009100111,0.000975503,0.000718027,0.000415574
19,3.648686528,0.003026586,1.424950192,0.009014132,0.000641476,8.64285E-05,0.0011124
20,3.073253575,0.006997859,1.756040933,0.006443349,0.000832997,0.00024061,0.002119851
21,3.80059799,0.001341866,1.65738885,0.007911633,0.000340296,0.000140158,0.00048619
22,2.670856313,0.001520081,3.110087396,0.009382091,0.000447372,0.000355239,0.00238464
23,4.667778231,7.16941E-05,3.071817395,0.00801582,0.000233378,0.000890985,0.001016872
24,2.544688214,0.001837325,0.737843176,0.008181526,0.000746557,0.000367355,0.001610565
25,3.575741174,0.004015179,3.544076769,0.004988663,0.000304269,0.000125986,0.001370924
26,4.446712685,0.007620703,3.20773503,0.003131051,0.000931313,0.000156151,0.001567917
27,3.310404437,0.009911932,2.852319852,0.000806805,0.000999356,3.34319E-05,0.000950909
28,4.112009021,0.005027199,0.385649776,0.000428939,0.000841502,0.000318556,0.002310206
29,4.617375868,0.005245161,0.663582034,0.004926888,0.000404639,0.000656488,0.002515788
30,4.872169923,0.001600499,2.784234635,0.003791296,0.000611828,0.000325956,0.002258876
31,4.798990299,0.007307789,2.408174352,0.008071744,0.000343901,0.000211917,0.000789877
32,3.425575736,0.005062378,0.932838398,0.007420277,0.000718565,0.000319953,0.002631315
33,3.73517957,0.004587553,0.550116067,0.007399581,2.62516E-06,0.000982692,0.001184784
34,2.756682681,1.35243E-05,1.728790639,0.004549445,0.000650553,0.000586799,0.001326472
35,2.558370875,0.000687148,3.161871112,0.008430372,0.000432929,0.000654212,0.002827643
36,4.086214948,0.006040903,0.759578048,0.001900983,0.000760689,0.000552592,0.001733203
37,4.368731997,0.008177214,1.534901229,0.009414858,0.000404065,0.000758248,0.002403832
38,4.601783481,0.005921149,3.63917063,0.001375567,6.29615E-05,8.25714E-05,0.001464641
39,4.855826491,0.003169798,1.442368267,0.007962095,0.00010814,0.000351003,0.001947518
40,4.033676424,0.001218189,1.015437005,0.008389677,0.000495181,0.000491353,0.000878679
41,3.367826499,0.00891499,2.978838371,0.008513123,0.000424225,0.000354754,0.000752684
42,2.52508211,0.008573363,1.36552599,0.007517436,0.000759968,2.96644E-05,0.000137877
43,2.809675625,0.008639433,0.415453944,0.00502906,0.000990927,0.000667938,0.001238218
44,3.171736073,0.002337149,2.878266955,0.006705669,0.00014708,0.000239852,0.001120887
45,4.875541863,0.00326963,2.30153796,0.008427567,6.12527E-05,0.000206723,0.002320408
46,2.936276331,0.00894365,3.421748048,0.002961677,0.000872726,0.000162424,2.56273E-05
47,3.451071278,0.000662815,2.171068847,0.009101189,0.000609597,0.000425437,0.001775752
48,4.503199205,0.00975676,1.604739247,0.009676577,8.89885E-05,0.000923409,0.00128695
49,4.920342326,0.002177849,2.112900126,0.004702694,0.000583253,0.000204095,0.002519001
50,4.070683268,0.004173308,3.602312265,0.008137712,0.000790442,0.000132056,0.000249849
51,3.853997936,0.005692983,0.167279083,0.000624245,0.000688896,0.000978429,0.00062426
52,3.809446861,0.003903839,1.454480696,0.001713378,0.000268359,0.000368823,0.000462636
53,3.556975778,0.005224519,3.113352748,0.001905617,0.000587099,0.000792909,0.000405172
54,3.068977211,0.00636308,3.739449109,0.006390854,0.000488101,0.000874373,0.002028485
55,3.871023406,0.001767901,3.930206076,0.001722226,0.000638898,0.000322604,0.00270382
56,2.512930292,0.005688833,0.880034582,0.004120101,0.000836686,9.70713E-05,0.000453466
57,3.816250579,0.001001964,1.478272849,0.005099976,0.000227236,0.000271194,0.000777779
58,4.040315899,0.009572705,3.796975819,9.31725E-05,0.000471132,0.000624958,0.001635295
59,4.733245154,0.006764572,0.956978634,0.004652325,0.000324103,0.000726877,0.001013196
60,4.147254415,0.002322614,2.532279343,0.007075515,7.47841E-05,0.000386403,0.001624421
